Marke Beschreibung;Artikelkategorie Beschreibung;Artikeltyp Beschreibung;Artikelnr.;Kred.- Artikelnr.;Farbsaison2;Beschreibung;Kreditorfarbcode;Kreditor Farbtext;Grösse;Lagerort Code;Filialendbestand;NOS Griffeinheit;Mindestbestellmenge;Aktueller Sollbestand;Datum erster Wareneingang;Letztes WE Datum;VK-Preis aktuell;September 2023;Absatz 1 Jahr;Absatz Schnitt Monat;Reichweite in Monaten;August 2023;Juli 2023;Juni 2023;Mai 2023;April 2023;März 2023;Februar 2023;Januar 2023;Dezember 2022;November 2022;Oktober 2022;September 2022
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10254551;34104864101;9999;SHEER GLOW FOUNDATION;027;VANUATU;OS;101;3;1;3;3;03.01.23;03.01.23;77.9;0;1;0.083333333;36;0;1;0;0;0;0;0;0;0;0;0;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10254863;34104867101;9999;SHEER GLOW FOUNDATION;029;ARUBA;OS;101;3;1;3;3;28.10.21;06.02.23;77.9;0;3;0.25;12;0;1;0;1;0;0;0;1;0;0;0;0
NARS;Maquillage Make-Up;CompactPuder/PressedPowder;ARTI10257398;34105894101;9999;LIGHT REFLECTING SETTING POWDER;002;PRESSED CRYSTAL NEW;OS;101;2;1;3;9;24.03.21;21.07.23;64.9;0;146;12.16666667;0.164383562;5;5;14;15;10;12;10;9;21;10;16;19
NARS;Maquillage Make-Up;Sonnenpuder;ARTI10259953;34105171101;9999;BRONZING POWDER;001;LIGHT BRONZE WITH GOLDEN SHIMM;OS;101;4;1;3;3;18.10.21;13.01.23;56.9;0;2;0.166666667;24;0;0;0;0;1;0;0;1;0;0;0;0
NARS;Maquillage Make-Up;Blush;ARTI10259954;34104077101;9999;BLUSH;003;SHIMMERING DEEP CORAL PINK/ORG;OS;101;1;1;3;3;21.05.21;03.05.23;49.9;0;23;1.916666667;0.52173913;1;4;0;2;2;5;0;1;3;1;0;4
NARS;Maquillage Make-Up;Blush;ARTI10259955;34104081101;9999;BLUSH;007;MATTE PINK MAUVE/BEHAVE;OS;101;4;1;3;3;19.02.21;12.07.23;49.9;0;28;2.333333333;1.714285714;0;1;2;1;3;2;5;0;5;2;4;3
NARS;Maquillage Make-Up;Sonnenpuder;ARTI10259963;34105241101;9999;MATTE BRONZER;002;WARM BROWN - LAGUNA;OS;101;2;1;3;6;02.06.21;03.05.23;56.9;0;36;3;0.666666667;0;1;0;4;5;7;0;4;5;6;1;3
NARS;Maquillage Make-Up;Sonnenpuder;ARTI10259964;34105242101;9999;BRONZING POWDER;004;RICH MAHOGANY BROWN WITH GOLDE;OS;101;4;1;3;3;26.01.22;11.01.23;56.9;0;3;0.25;16;0;0;0;0;0;0;0;0;3;0;0;0
NARS;Maquillage Make-Up;Sonnenpuder;ARTI10259965;34105240101;9999;MATTE BRONZER;001;LIGHT TAN;OS;101;1;1;3;3;25.06.21;10.05.23;56.9;0;23;1.916666667;0.52173913;2;0;1;1;3;5;4;1;3;0;1;2
NARS;Maquillage Make-Up;Sonnenpuder;ARTI10259967;34105172101;9999;BRONZING POWDER;002;BROWN POWDER LAGUNA;OS;101;19;1;3;18;12.04.21;28.08.23;56.9;0;97;8.083333333;2.350515464;5;7;4;6;3;10;8;9;12;9;11;13
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10264248;34106040101;9999;SHEER GLOW FOUNDATION;015;SIBERIA;KEINEGRÖßE;101;3;1;3;3;12.04.21;22.04.22;77.9;0;1;0.083333333;36;0;0;0;0;0;0;0;1;0;0;0;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10264249;34102362101;9999;PURE RADIANT TINTED MOISTURIZER;010;TERRE-NEUVE;KEINEGRÖßE;101;1;1;3;6;04.05.21;02.06.22;72.9;0;7;0.583333333;1.714285714;0;0;0;0;0;0;2;4;0;0;0;1
NARS;Maquillage Make-Up;Concealer;ARTI10264558;34101269101;9999;RADIANT CREAMY CONCEALER;014;CHESNUT;KEINEGRÖßE;101;3;1;3;3;24.03.21;13.01.23;47.9;0;8;0.666666667;4.5;0;0;0;1;0;1;0;2;0;0;0;4
NARS;Maquillage Make-Up;Concealer;ARTI10264650;34101288101;9999;SOFT MATTE COMPLETE CONCEALER;014;CAFÉ;KEINEGRÖßE;101;5;1;3;3;08.03.23;26.06.23;48.9;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
NARS;Maquillage Make-Up;Concealer;ARTI10264660;34101289101;9999;SOFT MATTE COMPLETE CONCEALER;015;CACAO;KEINEGRÖßE;101;3;1;3;3;08.03.23;08.03.23;48.9;0;1;0.083333333;36;0;0;0;0;1;0;0;0;0;0;0;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10264906;34106602101;9999;NAT.RAD.LONGWEAR FDT;003;YUKON;KEINEGRÖßE;101;4;0;3;3;02.06.21;27.05.22;77.9;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10264907;34106620101;9999;NAT.RAD.LONGWEAR FDT;021;MOOREA;KEINEGRÖßE;101;3;0;3;3;18.09.21;17.06.22;77.9;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10264917;34106605101;9999;NAT.RAD.LONGWEAR FDT;006;DEAUVILLE;KEINEGRÖßE;101;3;0;3;3;26.03.21;13.01.23;77.9;0;7;0.583333333;5.142857143;0;0;0;0;0;0;1;2;2;2;0;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10264920;34106630101;9999;NAT.RAD.LONGWEAR FDT;031;NAMIBIA;KEINEGRÖßE;101;4;0;3;3;03.08.21;22.04.22;77.9;0;1;0.083333333;48;0;0;0;0;0;0;0;1;0;0;0;0
NARS;Maquillage Make-Up;Blush;ARTI10265592;34105158101;9999;LIQUID BLUSH;004;DOLCE VITA;KEINEGRÖßE;101;1;0;3;3;19.02.21;30.05.23;47.9;0;16;1.333333333;0.75;1;1;1;3;1;1;0;0;3;0;0;5
NARS;Maquillage Make-Up;Concealer;ARTI10265948;34101239101;9999;RADIANT CREAMY CONCEALER;008;CAFE;KEINEGRÖßE;101;4;1;3;3;13.10.21;09.11.22;47.9;0;5;0.416666667;9.6;0;0;1;0;0;0;0;0;0;0;3;1
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10266134;34106058101;9999;SHEER GLOW FOUNDATION;009;MACAO;KEINEGRÖßE;101;5;1;3;3;04.06.21;11.04.23;77.9;0;5;0.416666667;12;0;1;0;0;1;0;1;0;1;0;1;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10266174;34106050101;9999;SHEER GLOW FOUNDATION;003;CADIZ;KEINEGRÖßE;101;3;1;3;3;09.07.21;22.04.22;77.9;0;1;0.083333333;36;0;0;0;0;0;0;0;0;0;0;1;0
NARS;Maquillage Make-Up;Concealer;ARTI10266549;34101270101;9999;RADIANT CREAMY CONCEALER;015;HAZELNUT;KEINEGRÖßE;101;3;1;3;3;08.03.23;08.03.23;47.9;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10266927;34106621101;9999;NAT.RAD.LONGWEAR FDT;022;HUAHINE;KEINEGRÖßE;101;4;0;3;3;08.03.23;08.03.23;77.9;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10266936;34106613101;9999;NAT.RAD.LONGWEAR FDT;014;STROMBOLI;KEINEGRÖßE;101;5;0;3;3;03.05.21;20.03.23;77.9;0;6;0.5;10;0;0;0;0;0;1;0;2;2;0;0;1
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10266937;34106619101;9999;NAT.RAD.LONGWEAR FDT;020;TAHOE;KEINEGRÖßE;101;4;0;3;3;04.06.21;10.03.23;77.9;0;6;0.5;8;0;1;0;0;0;1;0;0;0;1;1;2
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10266951;34106628101;9999;NAT.RAD.LONGWEAR FDT;029;NEW CALEDONIA;KEINEGRÖßE;101;2;0;3;0;11.11.21;22.04.22;77.9;0;2;0.166666667;12;0;0;0;0;0;0;0;0;1;0;1;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10266953;34106627101;9999;NAT.RAD.LONGWEAR FDT;028;MANAUS;OS;101;3;0;3;3;08.03.23;08.03.23;77.9;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10266963;34106607101;9999;NAT.RAD.LONGWEAR FDT;008;FIJI;KEINEGRÖßE;101;5;0;3;3;24.03.21;08.03.23;77.9;0;8;0.666666667;7.5;0;0;0;1;0;0;1;2;1;0;2;1
NARS;Maquillage Make-Up;Highlighter;ARTI10267082;34105226101;9999;LIGHT SCULPTING;005;MALEDIVES;KEINEGRÖßE;101;4;0;3;3;07.05.21;07.06.23;58.9;0;6;0.5;8;0;1;0;1;0;1;0;0;1;1;0;1
NARS;Maquillage Make-Up;Highlighter;ARTI10267086;34105224101;9999;LIGHT SCULPTING;004;IBIZA;KEINEGRÖßE;101;5;0;3;3;15.03.22;03.07.23;58.9;0;1;0.083333333;60;0;0;1;0;0;0;0;0;0;0;0;0
NARS;Maquillage Make-Up;Concealer;ARTI10267653;34101271101;9999;RADIANT CREAMY CONCEALER;016;DARK COFFEE;KEINEGRÖßE;101;3;1;3;3;08.03.23;08.03.23;47.9;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
NARS;Maquillage Make-Up;Concealer;ARTI10268141;34101240101;9999;RADIANT CREAMY CONCEALER;010;CACAO;KEINEGRÖßE;101;3;1;3;3;28.10.21;10.08.22;47.9;0;2;0.166666667;18;1;0;0;1;0;0;0;0;0;0;0;0
NARS;Maquillage Make-Up;Blush;ARTI10268200;34104031102;9999;BLUSH;005;DOLCE VITA;KEINEGRÖßE;101;4;1;3;6;04.05.21;10.02.23;49.9;0;16;1.333333333;3;0;2;0;0;0;0;3;2;3;3;1;2
NARS;Maquillage Make-Up;Concealer;ARTI10268493;34101290101;9999;SOFT MATTE COMPLETE CONCEALER;016;DARK COFFEE;OS;101;3;1;3;3;31.01.21;31.01.21;48.9;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
NARS;Maquillage Make-Up;Concealer;ARTI10268498;34101283101;9999;SOFT MATTE COMPLETE CONCEALER;009;BISCUIT;KEINEGRÖßE;101;5;1;3;3;10.08.21;12.07.23;48.9;0;5;0.416666667;12;0;1;0;0;0;0;1;0;0;1;2;0
NARS;Maquillage Make-Up;Concealer;ARTI10268523;34101281101;9999;SOFT MATTE COMPLETE CONCEALER;007;MACADAMIA;KEINEGRÖßE;101;7;1;3;6;12.07.21;07.06.23;48.9;0;11;0.916666667;7.636363636;0;0;0;3;2;2;0;2;0;0;0;2
NARS;Maquillage Make-Up;Concealer;ARTI10268682;34101230101;9999;RADIANT CREAMY CONCEALER;022;TRUFFLE;KEINEGRÖßE;101;5;1;3;3;08.03.23;28.08.23;47.9;0;2;0.166666667;30;1;0;0;0;0;0;0;0;0;0;1;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10268683;34106603101;9999;NAT.RAD.LONGWEAR FDT;004;GOBI;KEINEGRÖßE;101;5;0;3;3;14.09.21;01.11.22;77.9;0;1;0.083333333;60;0;0;0;0;0;0;0;0;0;0;1;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10268684;34106609101;9999;NAT.RAD.LONGWEAR FDT;010;PATAGONIA;KEINEGRÖßE;101;4;0;3;3;18.06.21;07.06.23;77.9;0;8;0.666666667;6;0;0;1;2;0;1;0;0;1;1;0;2
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10268698;34106625101;9999;NAT.RAD.LONGWEAR FDT;026;MACAO;KEINEGRÖßE;101;5;0;3;3;07.05.21;11.10.22;77.9;0;2;0.166666667;30;0;0;0;0;0;0;1;0;0;0;0;1
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10268719;34106631101;9999;NAT.RAD.LONGWEAR FDT;032;ZAMBIE;OS;101;5;0;3;3;22.04.22;22.04.22;77.9;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
NARS;Maquillage Make-Up;Highlighter;ARTI10268765;34105227101;9999;LIGHT SCULPTING;006;ST.BARTH;KEINEGRÖßE;101;3;0;3;3;08.03.23;08.03.23;58.9;0;1;0.083333333;36;0;0;0;0;0;0;1;0;0;0;0;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10268779;34106622101;9999;NAT.RAD.LONGWEAR FDT;023;CADIZ;KEINEGRÖßE;101;5;0;3;3;11.11.21;28.04.23;77.9;0;1;0.083333333;60;0;0;0;0;0;0;0;0;1;0;0;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10268780;34106626101;9999;NAT.RAD.LONGWEAR FDT;027;MARQUISES;KEINEGRÖßE;101;3;0;3;3;17.03.22;11.01.23;77.9;0;4;0.333333333;9;0;0;1;0;0;0;0;1;1;0;0;1
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10268781;34106632101;9999;NAT.RAD.LONGWEAR FDT;033;MALI;OS;101;3;0;3;3;31.01.21;31.01.21;77.9;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10268800;34106624101;9999;NAT.RAD.LONGWEAR FDT;025;BELEM;OS;101;3;0;3;3;22.04.22;22.04.22;77.9;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
NARS;Maquillage Make-Up;Blush;ARTI10269205;34104014102;9999;BLUSH;021;SIN;KEINEGRÖßE;101;3;1;3;3;12.04.21;12.06.23;49.9;0;8;0.666666667;4.5;2;0;1;0;0;2;0;0;0;1;1;1
